SITE;LOT;LAYER;ID;RAWMATERIAL;QUARTZQUALITY;CLASS;COREPREPARPROD;RETOUCHEDPIECEBLANK;PIECECOMPLETENESS;CORTEX;CORTEXLOCATION;CORTEXTYPE;PLATFORMTYPE;PLATFORMCORTEX;LIPPING;BLANKSHAPE;CROSSSECTION;BLANKTIP;PROFILE;SCARCOUNT;SCARPATTERN;THICKNESS;MAXWIDTH;PROXWIDTH;MEDWIDTH;DISTWIDTH;LENGTH;PLATFORMTHICKNESS;PLATFORMWIDTH;EXTERIORPLATFORMANGLE;WEIGHT;CORETYPE;CORECROSSSECTION;NUMBERCOREFACES;COREPLATFORM;COREDISTALTREATMENT;CORELEFTTREATMENT;CORERIGHTTREATMENT;COREBACKTREATMENT;MAINFACECORTEX;MAINFACESCARCOUNT;MAINFACESCARDIRECTION;MAINFACEARISORIENTATION;MAINFACESCARLENGTH;MAINFACESCARMAXWIDTH;MAINFACESCARPROXWIDTH;MAINFACESCARMEDWIDTH;MAINFACESCARDISTWIDTH;MAINFACEPLATFORMANGLE;MAINFACECOREUSE;DISTALFACECORTEX;DISTALFACESCARCOUNT;DISTALFACESCARDIRECTION;DISTALFACEARISORIENTATION;DISTALFACECOREUSE;LEFTFACECORTEX;LEFTFACESCARCOUNT;LEFTFACESCARDIRECTION;LEFTFACEARISORIENTATION;LEFTFACECOREUSE;RIGHTFACECORTEX;RIGHTFACESCARCOUNT;RIGHTFACESCARDIRECTION;RIGHTFACEARISORIENTATION;RIGHTFACECOREUSE;BACKFACECORTEX;BACKFACESCARCOUNT;BACKFACESCARDIRECTION;BACKFACEARISORIENTATION;BACKFACECOREUSE;COREABANDON;ALTERATION;FIRE;EDGEDAMAGE;RETOUCHEDPIECETYPOLOGY;CHIPQUANTITY;RMTYPE;OTHERNOTES
CAM;;PIT1;B6-1361;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Feather;Irregular;2;Unidirectional;9,08;11,85;7,34;11;9,23;20,64;4,7;7,68;-;1,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1307;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Feather;Straight;2;Unidirectional;4,94;16,41;14,72;6;14,45;22,27;45,2;16,21;110,7;2;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1555;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Convergent;Trapezoidal;Hinge;Straight;4;Unidirectional;8,59;26,01;20,32;21,27;12,49;28,21;8,65;19,93;83,2;7,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1499;Quartzite;;Flake;;;;1-30%;Distal;Cobble;Plain;YesComplete;No;Divergent;Triangular;Feather;Curved;3;Unidirectional;10,82;37,38;13,33;26,55;37,54;36,25;7,47;13,32;75,2;11,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1437;Chert;;Flake;;;;61-99%;LeftLateral;Cobble;Plain;YesComplete;No;Circular;Triangular;Feather;Straight;1;Unidirectional;13,64;28,65;21,44;28,14;19,98;32,92;11,14;18,78;67,4;13,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1411;Chert;;Flake;;;;61-99%;Distal;Outcrop;Crushed;No;No;Divergent;Triangular;Feather;Curved;3;Crossed;5,53;12,9;5,66;12,83;8,11;22,8;4,62;3,44;123,7;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1232;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Convergent;Other;Hinge;Irregular;2;Unidirectional;8,19;20,51;20,51;18,96;7,15;20,33;8,05;20,35;91,9;3,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1236;Quartz;Fine;ElongBlank;;;;31-60%;ProxRightLat;Cobble;Plain;No;No;Parallel;Triangular;Pointed;Irregular;2;BidirectionalOpposed;6,49;12,47;7,23;12,4;2,66;36,71;4,49;4,92;79,3;2,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1432;Quartz;Fine;Flake;;;;1-30%;RightLateral;Cobble;Plain;No;No;Convergent;Triangular;Hinge;Curved;2;Unidirectional;8,74;20,82;20,82;16,09;5,25;23,91;9,18;20,53;114,5;4,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1372;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Irregular;Triangular;Hinge;Curved;3;Unidirectional;4,79;14,04;8,56;12,68;8,1;19,23;24,1;7,5;98,3;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
