SITE;LOT;LAYER;ID;RAWMATERIAL;QUARTZQUALITY;CLASS;COREPREPARPROD;RETOUCHEDPIECEBLANK;PIECECOMPLETENESS;CORTEX;CORTEXLOCATION;CORTEXTYPE;PLATFORMTYPE;PLATFORMCORTEX;LIPPING;BLANKSHAPE;CROSSSECTION;BLANKTIP;PROFILE;SCARCOUNT;SCARPATTERN;THICKNESS;MAXWIDTH;PROXWIDTH;MEDWIDTH;DISTWIDTH;LENGTH;PLATFORMTHICKNESS;PLATFORMWIDTH;EXTERIORPLATFORMANGLE;WEIGHT;CORETYPE;CORECROSSSECTION;NUMBERCOREFACES;COREPLATFORM;COREDISTALTREATMENT;CORELEFTTREATMENT;CORERIGHTTREATMENT;COREBACKTREATMENT;MAINFACECORTEX;MAINFACESCARCOUNT;MAINFACESCARDIRECTION;MAINFACEARISORIENTATION;MAINFACESCARLENGTH;MAINFACESCARMAXWIDTH;MAINFACESCARPROXWIDTH;MAINFACESCARMEDWIDTH;MAINFACESCARDISTWIDTH;MAINFACEPLATFORMANGLE;MAINFACECOREUSE;DISTALFACECORTEX;DISTALFACESCARCOUNT;DISTALFACESCARDIRECTION;DISTALFACEARISORIENTATION;DISTALFACECOREUSE;LEFTFACECORTEX;LEFTFACESCARCOUNT;LEFTFACESCARDIRECTION;LEFTFACEARISORIENTATION;LEFTFACECOREUSE;RIGHTFACECORTEX;RIGHTFACESCARCOUNT;RIGHTFACESCARDIRECTION;RIGHTFACEARISORIENTATION;RIGHTFACECOREUSE;BACKFACECORTEX;BACKFACESCARCOUNT;BACKFACESCARDIRECTION;BACKFACEARISORIENTATION;BACKFACECOREUSE;COREABANDON;ALTERATION;FIRE;EDGEDAMAGE;RETOUCHEDPIECETYPOLOGY;CHIPQUANTITY;RMTYPE;OTHERNOTES
CAM;Bucket;PIT1;A5-950;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;4;;
CAM;Bucket;PIT1;A5-950;Quartz;Medium;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;Concretion;;;;0;;
CAM;Bucket;PIT1;A5-950;Quartz;RockCrystal;ElongBlankFrag;;;Distal;0%;;;;;;;Irregular;Hinge;;3;;2,38;6,79;0;0;0;0;0;0;0;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-950;Chert;;ElongBlankFrag;;;Distal;0%;;;;;;;Triangular;Feather;;2;;2,01;5,32;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Jul-37;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;Jul-37;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1106;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1253;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;A5-1253;Quartz;Fine;FlakeFrag;;;Other;1-30%;Proximal;Cobble;;;;;Irregular;;;1;;3,53;17,39;0;0;0;0;0;0;0;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1253;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1228;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Other;;;2;;4,26;22,89;0;0;0;0;0;0;0;1,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1228;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-1012;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;A5-1012;Quartz;RockCrystal;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1230;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1230;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1230;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Irregular;;;2;;6,61;19,05;0;0;0;0;0;0;0;1,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1230;Quartzite;;FlakeFrag;;;Other;0%;;;;;;;Triangular;;;2;;8,25;24,57;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1230;Quartz;Fine;Flake;;;;0%;;;Plain;No;No;Irregular;Irregular;Hinge;Twisted;3;Unidirectional;6,18;12,63;6,84;12,63;8,71;17,46;4,86;6,12;80,4;1,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1230;Chert;;Flake;;;;31-60%;DistalLeftLat;Cobble;Winged;YesComplete;No;Divergent;Irregular;Hinge;Straight;1;Unidirectional;6,81;24,51;2,6;21,31;22,44;17,27;2,49;8,19;98,2;2,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1316;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1316;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1316;Chert;;ElongBlankFrag;;;Proximal;0%;;;Faceted;;;;Other;;;2;;1,88;9,2;0;0;0;0;2,96;9,66;93,2;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1283;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1283;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-1283;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1283;Quartz;Fine;FlakeFrag;;;Distal;100%;;Cobble;;;;;Other;Feather;;0;;4,61;20,18;0;0;0;0;0;0;0;1,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Mar-79;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Mar-79;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Mar-79;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Parallel;Lenticular;Feather;Straight;3;Unidirectional;3,42;12,95;11,67;12,8;13,67;20,84;4,1;11,58;77,2;1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Mar-79;Quartz;Fine;Flake;;;;0%;;;Plain;YesComplete;No;Parallel;Irregular;Feather;Straight;3;Unknown;4,08;12,73;12,73;11,28;6,5;15,46;4,52;12,29;91,3;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1266;Chert;;FlakeFrag;;;Mesial;61-99%;Proximal;Outcrop;;;;;Other;;;1;;6,76;25,31;0;0;0;0;0;0;0;4,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1266;Chert;;Flake;;;;100%;;Outcrop;Plain;No;No;Circular;Lenticular;Hinge;Straight;0;None;4,32;17,28;11,86;17,5;8,95;16,82;3,39;8,62;75,3;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Apr-11;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;5;;
CAM;Bucket;PIT1;Apr-11;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;Apr-11;Quartz;Fine;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;Apr-11;Chert;;FlakeFrag;;;Proximal;0%;;;Winged;;;;Triangular;;;3;;2,06;10,89;0;0;0;0;1,38;8,6;81,8;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-930;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;7;;
CAM;Bucket;PIT1;A5-930;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;A5-930;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-930;Quartzite;;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-930;Quartzite;;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-930;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-930;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Trapezoidal;;;2;;3,52;18,03;0;0;0;0;0;0;0;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-930;Quartz;Fine;FlakeFrag;;;Distal;31-60%;RightLateral;Cobble;;;;;Triangular;Feather;;1;;4,72;11,68;0;0;0;0;0;0;0;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1050;Quartz;Medium;Shatter;;;;31-60%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1050;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1050;Chert;;ElongBlankFrag;;;Distal;0%;;;;;;;Lenticular;Feather;;2;;1,13;8,06;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-870;Chert;;Flake;;;;0%;;;Dihedral;No;No;Dejete;Lenticular;Feather;Straight;1;Unidirectional;4,11;16,61;16,61;16,28;10,19;13,7;4,64;14,42;80,9;1,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-870;Quartz;RockCrystal;ElongBlankFrag;;;Proximal;0%;;;Plain;;;;Triangular;;;2;;2,59;9,88;0;0;0;0;2,47;6,03;90,1;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Apr-12;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Apr-12;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;Apr-12;Quartz;Fine;FlakeFrag;;;Other;1-30%;Proximal;Cobble;;;;;Triangular;;;1;;3,72;15,3;0;0;0;0;0;0;0;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;Apr-12;Chert;;FlakeFrag;;;Distal;0%;;;;;;;Triangular;Feather;;2;;3,71;13,61;0;0;0;0;0;0;0;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1185;Quartzite;;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;Sep-31;Chert;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Sep-31;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Sep-31;Quartz;RockCrystal;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;Sep-31;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;3;;
CAM;Bucket;PIT1;Sep-31;Quartz;Fine;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;Sep-31;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Irregular;;;2;;4,2;17,9;0;0;0;0;0;0;0;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-984;Quartzite;;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,6;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-984;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Triangular;;;2;;4,38;20,18;0;0;0;0;0;0;0;0,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-960;Quartz;RockCrystal;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-960;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-1174;Chert;;CoreFrag;;;;0%;;;;;;;;;;2;;20,27;0;0;0;0;0;0;0;0;2,2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1174;Quartz;Fine;FlakeFrag;;;Other;1-30%;Proximal;Cobble;;;;;Other;;;0;;4;22,33;0;0;0;0;0;0;0;1,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1174;Quartz;Fine;FlakeFrag;;;Distal;0%;;;;;;;Lenticular;Feather;;1;;4,31;16,43;0;0;0;0;0;0;0;0,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-960;Quartzite;;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-960;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-960;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-1246;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-972;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;1;;
CAM;Bucket;PIT1;A5-972;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;2;;
CAM;Bucket;PIT1;A5-972;Chert;;Flake;;;;0%;;;Plain;No;No;Parallel;Triangular;Feather;Irregular;3;Unknown;4,72;10,73;8,08;10,17;7,85;15,12;2,06;5,59;112,4;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-972;Quartz;RockCrystal;ElongBlankFrag;;;Proximal;0%;;;Crushed;;;;Lenticular;;;2;;2,21;7,02;0;0;0;0;2,97;6,29;102,8;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-972;Quartzite;;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-972;Quartzite;;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-972;Quartz;Fine;Shatter;;;;31-60%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,3;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1083;Quartzite;;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1083;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1083;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;7;;
CAM;Bucket;PIT1;A5-1083;Chert;;Flake;;;;0%;;;Winged;No;No;Convergent;Triangular;Pointed;Straight;3;Unidirectional;4,83;16,05;16,05;10,77;1,72;1,76;21,46;2,13;13,88;81,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;4;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;FlakeFrag;;;Other;0%;;;;;;;Other;;;1;;3,99;17,42;0;0;0;0;0;0;0;0,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;1,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;Shatter;;;;0%;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;3,5;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1166;Quartz;Fine;Shatter;;;;1-30%;;Cobble;;;;;;;;0;;0;0;0;0;0;0;0;0;0;3,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
CAM;Bucket;PIT1;A5-1166;Chert;;Flake;;;;0%;;;Linear;No;No;Irregular;Lenticular;Feather;Straight;1;Unidirectional;2,01;17,23;13,75;17,16;16,13;13,28;1,15;13,07;0;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;No;;0;;
CAM;Bucket;PIT1;A5-1013;Quartz;Fine;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;2,1;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;4;;
CAM;Bucket;PIT1;A5-1072;Quartzite;;Chip;;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;0;;;;;0;;;;;0;;;;;0;;;;;None;;;;0;;
